atc_name,atc_code
linseed,A06AC05
methylcellulose,A06AC06
triticum (wheat fibre),A06AC07
polycarbophil calcium,A06AC08
"ispaghula, combinations",A06AC51
"sterculia, combinations",A06AC53
"linseed, combinations",A06AC55
magnesium carbonate,A06AD01
magnesium oxide,A06AD02
magnesium peroxide,A06AD03
magnesium sulfate,A06AD04
mineral salts in combination,A06AD10
lactulose,A06AD11
lactitol,A06AD12
sodium sulfate,A06AD13
pentaerithrityl,A06AD14
macrogol,A06AD15
mannitol,A06AD16
sodium phosphate,A06AD17
sorbitol,A06AD18
magnesium citrate,A06AD19
sodium tartrate,A06AD21
"lactulose, combinations",A06AD61
"macrogol, combinations",A06AD65
sodium phosphate,A06AG01
bisacodyl,A06AG02
"dantron, incl. combinations",A06AG03
glycerol,A06AG04
oil,A06AG06
sorbitol,A06AG07
"docusate sodium, incl. combinations",A06AG10
"sodium lauryl sulfoacetate, incl. combinations",A06AG11
methylnaltrexone bromide,A06AH01
alvimopan,A06AH02
naloxegol,A06AH03
naloxone,A06AH04
naldemedine,A06AH05
glycerol,A06AX01
carbon dioxide producing drugs,A06AX02
lubiprostone,A06AX03
linaclotide,A06AX04
prucalopride,A06AX05
tegaserod,A06AX06
plecanatide,A06AX07
tenapanor,A06AX08
elobixibat,A06AX09
neomycin,A07AA01
nystatin,A07AA02
natamycin,A07AA03
streptomycin,A07AA04
polymyxin B,A07AA05
paromomycin,A07AA06
amphotericin B,A07AA07
kanamycin,A07AA08
vancomycin,A07AA09
colistin,A07AA10
rifaximin,A07AA11
fidaxomicin,A07AA12
rifamycin,A07AA13
"neomycin, combinations",A07AA51
"streptomycin, combinations",A07AA54
phthalylsulfathiazole,A07AB02
sulfaguanidine,A07AB03
succinylsulfathiazole,A07AB04
miconazole,A07AC01
broxyquinoline,A07AX01
acetarsol,A07AX02
nifuroxazide,A07AX03
nifurzide,A07AX04
medicinal charcoal,A07BA01
"medicinal charcoal, combinations",A07BA51
pectin,A07BC01
kaolin,A07BC02
crospovidone,A07BC03
attapulgite,A07BC04
diosmectite,A07BC05
"attapulgite, combinations",A07BC54
diphenoxylate,A07DA01
opium,A07DA02
loperamide,A07DA03
difenoxin,A07DA04
loperamide oxide,A07DA05
eluxadoline,A07DA06
"morphine, combinations",A07DA52
"loperamide, combinations",A07DA53
prednisolone,A07EA01
hydrocortisone,A07EA02
prednisone,A07EA03
betamethasone,A07EA04
tixocortol,A07EA05
budesonide,A07EA06
beclometasone,A07EA07
cromoglicic acid,A07EB01
sulfasalazine,A07EC01
mesalazine,A07EC02
olsalazine,A07EC03
balsalazide,A07EC04
lactic acid producing organisms,A07FA01
saccharomyces boulardii,A07FA02
escherichia coli,A07FA03
"lactic acid producing organisms, combinations",A07FA51
albumin tannate,A07XA01
ceratonia,A07XA02
calcium compounds,A07XA03
racecadotril,A07XA04
crofelemer,A07XA06
"albumin tannate, combinations",A07XA51
phentermine,A08AA01
fenfluramine,A08AA02
amfepramone,A08AA03
dexfenfluramine,A08AA04
mazindol,A08AA05
etilamfetamine,A08AA06
cathine,A08AA07
clobenzorex,A08AA08
mefenorex,A08AA09
sibutramine,A08AA10
lorcaserin,A08AA11
setmelanotide,A08AA12
phentermine and topiramate,A08AA51
"ephedrine, combinations",A08AA56
bupropion and naltrexone,A08AA62
orlistat,A08AB01
rimonabant,A08AX01
diastase,A09AA01
"multienzymes (lipase, protease etc.)",A09AA02
pepsin,A09AA03
tilactase,A09AA04
glutamic acid hydrochloride,A09AB01
betaine hydrochloride,A09AB02
hydrochloric acid,A09AB03
citric acid,A09AB04
pepsin and acid preparations,A09AC01
multienzymes and acid preparations,A09AC02
insulin (human),A10AB01
insulin (beef),A10AB02
insulin (pork),A10AB03
insulin lispro,A10AB04
insulin aspart,A10AB05
insulin glulisine,A10AB06
insulin (human),A10AC01
insulin (beef),A10AC02
insulin (pork),A10AC03
insulin lispro,A10AC04
insulin (human),A10AD01
insulin (beef),A10AD02
insulin (pork),A10AD03
insulin lispro,A10AD04
insulin aspart,A10AD05
insulin degludec and insulin aspart,A10AD06
insulin (human),A10AE01
insulin (beef),A10AE02
insulin (pork),A10AE03
insulin glargine,A10AE04
insulin detemir,A10AE05
insulin degludec,A10AE06
insulin icodec,A10AE07
insulin glargine and lixisenatide,A10AE54
insulin degludec and liraglutide,A10AE56
insulin (human),A10AF01
phenformin,A10BA01
metformin,A10BA02
buformin,A10BA03
glibenclamide,A10BB01
chlorpropamide,A10BB02
tolbutamide,A10BB03
glibornuride,A10BB04
tolazamide,A10BB05
carbutamide,A10BB06
glipizide,A10BB07
gliquidone,A10BB08
gliclazide,A10BB09
metahexamide,A10BB10
glisoxepide,A10BB11
glimepiride,A10BB12
acetohexamide,A10BB31
glymidine,A10BC01
phenformin and sulfonylureas,A10BD01
metformin and sulfonylureas,A10BD02
metformin and rosiglitazone,A10BD03
glimepiride and rosiglitazone,A10BD04
metformin and pioglitazone,A10BD05
glimepiride and pioglitazone,A10BD06
metformin and sitagliptin,A10BD07
metformin and vildagliptin,A10BD08
pioglitazone and alogliptin,A10BD09
metformin and saxagliptin,A10BD10
metformin and linagliptin,A10BD11
pioglitazone and sitagliptin,A10BD12
metformin and alogliptin,A10BD13
metformin and repaglinide,A10BD14
metformin and dapagliflozin,A10BD15
metformin and canagliflozin,A10BD16
metformin and acarbose,A10BD17
metformin and gemigliptin,A10BD18
linagliptin and empagliflozin,A10BD19
metformin and empagliflozin,A10BD20
saxagliptin and dapagliflozin,A10BD21
metformin and evogliptin,A10BD22
metformin and ertugliflozin,A10BD23
sitagliptin and ertugliflozin,A10BD24
"metformin, saxagliptin and dapagliflozin",A10BD25
metformin and lobeglitazone,A10BD26
"metformin, linagliptin and empagliflozin",A10BD27
metformin and teneligliptin,A10BD28
sitagliptin and dapagliflozin,A10BD29
gemigliptin and dapagliflozin,A10BD30
acarbose,A10BF01
miglitol,A10BF02
voglibose,A10BF03
troglitazone,A10BG01
rosiglitazone,A10BG02
pioglitazone,A10BG03
lobeglitazone,A10BG04
sitagliptin,A10BH01
vildagliptin,A10BH02
saxagliptin,A10BH03
alogliptin,A10BH04
linagliptin,A10BH05
gemigliptin,A10BH06
evogliptin,A10BH07
teneligliptin,A10BH08
sitagliptin and simvastatin,A10BH51
gemigliptin and rosuvastatin,A10BH52
exenatide,A10BJ01
liraglutide,A10BJ02
lixisenatide,A10BJ03
albiglutide,A10BJ04
dulaglutide,A10BJ05
semaglutide,A10BJ06
beinaglutide,A10BJ07
dapagliflozin,A10BK01
canagliflozin,A10BK02
empagliflozin,A10BK03
ertugliflozin,A10BK04
ipragliflozin,A10BK05
sotagliflozin,A10BK06
luseogliflozin,A10BK07
bexagliflozin,A10BK08
enavogliflozin,A10BK09
guar gum,A10BX01
repaglinide,A10BX02
nateglinide,A10BX03
pramlintide,A10BX05
benfluorex,A10BX06
mitiglinide,A10BX08
imeglimin,A10BX15
tirzepatide,A10BX16
carfloglitazar,A10BX17
dorzagliatin,A10BX18
tolrestat,A10XA01
teplizumab,A10XX01
donislecel,A10XX02
multivitamins and iron,A11AA01
multivitamins and calcium,A11AA02
"multivitamins and other minerals, incl. combinations",A11AA03
multivitamins and trace elements,A11AA04
retinol (vit A),A11CA01
betacarotene,A11CA02
ergocalciferol,A11CC01
dihydrotachysterol,A11CC02
alfacalcidol,A11CC03
calcitriol,A11CC04
colecalciferol,A11CC05
calcifediol,A11CC06
"colecalciferol, combinations",A11CC55
thiamine (vit B1),A11DA01
sulbutiamine,A11DA02
benfotiamine,A11DA03
ascorbic acid (vit C),A11GA01
ascorbic acid (vit C) and calcium,A11GB01
nicotinamide,A11HA01
pyridoxine (vit B6),A11HA02
tocopherol (vit E),A11HA03
riboflavin (vit B2),A11HA04
biotin,A11HA05
pyridoxal phosphate,A11HA06
inositol,A11HA07
tocofersolan,A11HA08
dexpanthenol,A11HA30
calcium pantothenate,A11HA31
pantethine,A11HA32
calcium phosphate,A12AA01
calcium glubionate,A12AA02
calcium gluconate,A12AA03
calcium carbonate,A12AA04
calcium lactate,A12AA05
calcium lactate gluconate,A12AA06
calcium chloride,A12AA07
calcium glycerylphosphate,A12AA08
calcium citrate lysine complex,A12AA09
calcium glucoheptonate,A12AA10
calcium pangamate,A12AA11
calcium citrate,A12AA13
calcium (different salts in combination),A12AA20
calcium laevulate,A12AA30
potassium chloride,A12BA01
potassium citrate,A12BA02
potassium hydrogentartrate,A12BA03
potassium hydrogencarbonate,A12BA04
potassium gluconate,A12BA05
potassium (different salts in combination),A12BA30
"potassium, combinations",A12BA51
sodium chloride,A12CA01
sodium sulfate,A12CA02
zinc sulfate,A12CB01
zinc gluconate,A12CB02
zinc protein complex,A12CB03
magnesium chloride,A12CC01
magnesium sulfate,A12CC02
magnesium gluconate,A12CC03
magnesium citrate,A12CC04
magnesium aspartate,A12CC05
magnesium lactate,A12CC06
magnesium levulinate,A12CC07
magnesium pidolate,A12CC08
magnesium orotate,A12CC09
magnesium oxide,A12CC10
magnesium (different salts in combination),A12CC30
sodium fluoride,A12CD01
sodium monofluorophosphate,A12CD02
"fluoride, combinations",A12CD51
sodium selenate,A12CE01
sodium selenite,A12CE02
androstanolone,A14AA01
stanozolol,A14AA02
metandienone,A14AA03
metenolone,A14AA04
oxymetholone,A14AA05
quinbolone,A14AA06
prasterone,A14AA07
oxandrolone,A14AA08
norethandrolone,A14AA09
nandrolone,A14AB01
ethylestrenol,A14AB02
oxabolone cipionate,A14AB03
levocarnitine,A16AA01
ademetionine,A16AA02
glutamine,A16AA03
mercaptamine,A16AA04
carglumic acid,A16AA05
betaine,A16AA06
metreleptin,A16AA07
alglucerase,A16AB01
imiglucerase,A16AB02
agalsidase alfa,A16AB03
agalsidase beta,A16AB04
laronidase,A16AB05
sacrosidase,A16AB06
alglucosidase alfa,A16AB07
galsulfase,A16AB08
idursulfase,A16AB09
velaglucerase alfa,A16AB10
taliglucerase alfa,A16AB11
elosulfase alfa,A16AB12
asfotase alfa,A16AB13
sebelipase alfa,A16AB14
velmanase alfa,A16AB15
idursulfase beta,A16AB16
cerliponase alfa,A16AB17
vestronidase alfa,A16AB18
pegvaliase,A16AB19
pegunigalsidase alfa,A16AB20
atidarsagene autotemcel,A16AB21
avalglucosidase alfa,A16AB22
cipaglucosidase alfa,A16AB23
pegzilarginase,A16AB24
olipudase alfa,A16AB25
eladocagene exuparvovec,A16AB26
pabinafusp alfa,A16AB27
thioctic acid,A16AX01
anethole trithione,A16AX02
sodium phenylbutyrate,A16AX03
nitisinone,A16AX04
zinc acetate,A16AX05
miglustat,A16AX06
sapropterin,A16AX07
teduglutide,A16AX08
glycerol phenylbutyrate,A16AX09
eliglustat,A16AX10
sodium benzoate,A16AX11
trientine,A16AX12
uridine triacetate,A16AX13
migalastat,A16AX14
telotristat,A16AX15
givosiran,A16AX16
triheptanoin,A16AX17
lumasiran,A16AX18
fosdenopterin,A16AX19
lonafarnib,A16AX20
elivaldogene autotemcel,A16AX21
tiomolibdic acid,A16AX22
leriglitazone,A16AX23
govorestat,A16AX24
nedosiran,A16AX25
sodium benzoate and sodium phenylacetate,A16AX30
dicoumarol,B01AA01
phenindione,B01AA02
warfarin,B01AA03
phenprocoumon,B01AA04
acenocoumarol,B01AA07
ethyl biscoumacetate,B01AA08
clorindione,B01AA09
diphenadione,B01AA10
tioclomarol,B01AA11
fluindione,B01AA12
heparin,B01AB01
antithrombin III,B01AB02
dalteparin,B01AB04
enoxaparin,B01AB05
nadroparin,B01AB06
parnaparin,B01AB07
reviparin,B01AB08
danaparoid,B01AB09
tinzaparin,B01AB10
sulodexide,B01AB11
bemiparin,B01AB12
"heparin, combinations",B01AB51
ditazole,B01AC01
cloricromen,B01AC02
picotamide,B01AC03
clopidogrel,B01AC04
ticlopidine,B01AC05
acetylsalicylic acid,B01AC06
dipyridamole,B01AC07
carbasalate calcium,B01AC08
epoprostenol,B01AC09
indobufen,B01AC10
iloprost,B01AC11
abciximab,B01AC13
aloxiprin,B01AC15
eptifibatide,B01AC16
tirofiban,B01AC17
triflusal,B01AC18
beraprost,B01AC19
treprostinil,B01AC21
prasugrel,B01AC22
cilostazol,B01AC23
ticagrelor,B01AC24
cangrelor,B01AC25
vorapaxar,B01AC26
selexipag,B01AC27
limaprost,B01AC28
"acetylsalicylic acid, combinations with proton pump inhibitors",B01AC56
streptokinase,B01AD01
alteplase,B01AD02
anistreplase,B01AD03
urokinase,B01AD04
fibrinolysin,B01AD05
brinase,B01AD06
reteplase,B01AD07
saruplase,B01AD08
ancrod,B01AD09
drotrecogin alfa (activated),B01AD10
tenecteplase,B01AD11
protein C,B01AD12
apadamtase alfa and cinaxadamtase alfa,B01AD13
desirudin,B01AE01
lepirudin,B01AE02
argatroban,B01AE03
melagatran,B01AE04
ximelagatran,B01AE05
bivalirudin,B01AE06
dabigatran etexilate,B01AE07
rivaroxaban,B01AF01
apixaban,B01AF02
edoxaban,B01AF03
betrixaban,B01AF04
rivaroxaban and acetylsalicylic acid,B01AF51
defibrotide,B01AX01
dermatan sulfate,B01AX04
fondaparinux,B01AX05
caplacizumab,B01AX07
aminocaproic acid,B02AA01
tranexamic acid,B02AA02
aminomethylbenzoic acid,B02AA03
aprotinin,B02AB01
alfa1 antitrypsin,B02AB02
camostat,B02AB04
ulinastatin,B02AB05
phytomenadione,B02BA01
menadione,B02BA02
"fibrinogen, human",B02BB01
absorbable gelatin sponge,B02BC01
oxidized cellulose,B02BC02
tetragalacturonic acid hydroxymethylester,B02BC03
adrenalone,B02BC05
thrombin,B02BC06
collagen,B02BC07
calcium alginate,B02BC08
epinephrine,B02BC09
"coagulation factor IX, II, VII and X in combination",B02BD01
coagulation factor VIII,B02BD02
factor VIII inhibitor bypassing activity,B02BD03
coagulation factor IX,B02BD04
coagulation factor VII,B02BD05
von Willebrand factor and coagulation factor VIII in combination,B02BD06
coagulation factor XIII,B02BD07
coagulation factor VIIa,B02BD08
von Willebrand factor,B02BD10
catridecacog,B02BD11
coagulation factor X,B02BD13
susoctocog alfa,B02BD14
valoctocogene roxaparvovec,B02BD15
etranacogene dezaparvovec,B02BD16
fidanacogene elaparvovec,B02BD17
thrombin,B02BD30
etamsylate,B02BX01
carbazochrome,B02BX02
batroxobin,B02BX03
romiplostim,B02BX04
eltrombopag,B02BX05
emicizumab,B02BX06
lusutrombopag,B02BX07
avatrombopag,B02BX08
fostamatinib,B02BX09
concizumab,B02BX10
marstacimab,B02BX11
ferrous glycine sulfate,B03AA01
ferrous fumarate,B03AA02
ferrous gluconate,B03AA03
ferrous carbonate,B03AA04
ferrous chloride,B03AA05
ferrous succinate,B03AA06
ferrous sulfate,B03AA07
ferrous tartrate,B03AA08
ferrous aspartate,B03AA09
ferrous ascorbate,B03AA10
ferrous iodine,B03AA11
ferrous sodium citrate,B03AA12
ferric sodium citrate,B03AB01
saccharated iron oxide,B03AB02
sodium feredetate,B03AB03
ferric hydroxide,B03AB04
ferric oxide polymaltose complexes,B03AB05
chondroitin sulfate-iron complex,B03AB07
ferric acetyl transferrin,B03AB08
ferric proteinsuccinylate,B03AB09
ferric maltol,B03AB10
ferrous amino acid complex and folic acid,B03AD01
ferrous fumarate and folic acid,B03AD02
ferrous sulfate and folic acid,B03AD03
ferric oxide polymaltose complexes and folic acid,B03AD04
ferrous gluconate and folic acid,B03AD05
"iron, vitamin B12 and folic acid",B03AE01
"iron, multivitamins and folic acid",B03AE02
iron and multivitamins,B03AE03
"iron, multivitamins and minerals",B03AE04
various combinations,B03AE10
cyanocobalamin,B03BA01
cyanocobalamin tannin complex,B03BA02
hydroxocobalamin,B03BA03
cobamamide,B03BA04
mecobalamin,B03BA05
"cyanocobalamin, combinations",B03BA51
"hydroxocobalamin, combinations",B03BA53
folic acid,B03BB01
"folic acid, combinations",B03BB51
erythropoietin,B03XA01
darbepoetin alfa,B03XA02
methoxy polyethylene glycol-epoetin beta,B03XA03
peginesatide,B03XA04
roxadustat,B03XA05
luspatercept,B03XA06
daprodustat,B03XA07
vadadustat,B03XA08
molidustat,B03XA09
efepoetin alfa,B03XA10
albumin,B05AA01
other plasma protein fractions,B05AA02
fluorocarbon blood substitutes,B05AA03
dextran,B05AA05
gelatin agents,B05AA06
hydroxyethylstarch,B05AA07
hemoglobin crosfumaril,B05AA08
hemoglobin raffimer,B05AA09
hemoglobin glutamer (bovine),B05AA10
erythrocytes,B05AX01
thrombocytes,B05AX02
blood plasma,B05AX03
stem cells from umbilical cord blood,B05AX04
amino acids,B05BA01
fat emulsions,B05BA02
carbohydrates,B05BA03
protein hydrolysates,B05BA04
electrolytes,B05BB01
electrolytes with carbohydrates,B05BB02
trometamol,B05BB03
electrolytes in combination with other drugs,B05BB04
mannitol,B05BC01
carbamide,B05BC02
cetylpyridinium,B05CA01
chlorhexidine,B05CA02
nitrofural,B05CA03
sulfamethizole,B05CA04
taurolidine,B05CA05
mandelic acid,B05CA06
noxytiolin,B05CA07
ethacridine lactate,B05CA08
neomycin,B05CA09
sodium chloride,B05CB01
sodium citrate,B05CB02
magnesium citrate,B05CB03
sodium bicarbonate,B05CB04
glucose,B05CX01
sorbitol,B05CX02
glycine,B05CX03
mannitol,B05CX04
potassium chloride,B05XA01
sodium bicarbonate,B05XA02
sodium chloride,B05XA03
ammonium chloride,B05XA04
magnesium sulfate,B05XA05
"potassium phosphate, incl. combinations with other potassium salts",B05XA06
calcium chloride,B05XA07
sodium acetate,B05XA08
sodium phosphate,B05XA09
magnesium phosphate,B05XA10
magnesium chloride,B05XA11
zinc chloride,B05XA12
hydrochloric acid,B05XA13
sodium glycerophosphate,B05XA14
potassium lactate,B05XA15
cardioplegia solutions,B05XA16
potassium acetate,B05XA17
zinc sulfate,B05XA18
calcium gluconate,B05XA19
sodium selenite,B05XA20
combinations of electrolytes,B05XA30
electrolytes in combination with other drugs,B05XA31
arginine hydrochloride,B05XB01
alanyl glutamine,B05XB02
lysine,B05XB03
trometamol,B05XX02
fibrinolysin and desoxyribonuclease,B06AA02
hyaluronidase,B06AA03
chymotrypsin,B06AA04
trypsin,B06AA07
desoxyribonuclease,B06AA10
"streptokinase, combinations",B06AA55
hemin,B06AB01
"c1-inhibitor, plasma derived",B06AC01
icatibant,B06AC02
ecallantide,B06AC03
conestat alfa,B06AC04
lanadelumab,B06AC05
berotralstat,B06AC06
garadacimab,B06AC07
sebetralstat,B06AC08
crizanlizumab,B06AX01
betibeglogene autotemcel,B06AX02
voxelotor,B06AX03
mitapivat,B06AX04
exagamglogene autotemcel,B06AX05
acetyldigitoxin,C01AA01
acetyldigoxin,C01AA02
digitalis leaves,C01AA03
digitoxin,C01AA04
digoxin,C01AA05
lanatoside C,C01AA06
deslanoside,C01AA07
metildigoxin,C01AA08
gitoformate,C01AA09
"acetyldigoxin, combinations",C01AA52
proscillaridin,C01AB01
"proscillaridin, combinations",C01AB51
g-strophanthin,C01AC01
cymarin,C01AC03
peruvoside,C01AX02
quinidine,C01BA01
procainamide,C01BA02
disopyramide,C01BA03
sparteine,C01BA04
ajmaline,C01BA05
prajmaline,C01BA08
lorajmine,C01BA12
hydroquinidine,C01BA13
"quinidine, combinations excl. psycholeptics",C01BA51
"quinidine, combinations with psycholeptics",C01BA71
lidocaine,C01BB01
mexiletine,C01BB02
tocainide,C01BB03
aprindine,C01BB04
propafenone,C01BC03
flecainide,C01BC04
